id,Coordx,Coordy,riesgo
449,-103.3648224,20.6388855,Alto riesgo
450,-103.4213791,20.66271019,Poco riesgo
451,-103.4706392,20.5475323,Alto riesgo
452,-103.4773262,20.547442,Riesgo moderado
453,-103.354805,20.67718506,Sin riesgo
454,-103.3597946,20.62120628,Sin riesgo
455,-103.2898254,20.62271118,Alto riesgo
456,-103.3716812,20.62247849,Alto riesgo
458,-103.5311687,20.729089,Alto riesgo
459,-103.3106766,20.70957375,Sin riesgo
460,-103.3718719,20.6579628,Sin riesgo
461,-103.2940979,20.70713425,Poco riesgo
462,-103.3359756,20.65052032,Sin riesgo
463,-103.4426309,20.5696737,Sin riesgo
464,-103.274231,20.65874863,Sin riesgo
465,-103.4350163,20.453042,Alto riesgo
467,-103.2887573,20.67943382,Sin riesgo
468,-103.4526825,20.6407032,Sin riesgo
469,-103.3868103,20.59171486,Sin riesgo
470,-103.4649175,20.54394779,Sin riesgo
471,-103.3049164,20.67177391,Sin riesgo
472,-103.239006,20.59152603,Sin riesgo
473,-103.3901443,20.66246223,Sin riesgo
474,-103.3330231,20.64590454,Sin riesgo
475,-103.3625031,20.7337513,Poco riesgo
476,-103.3313675,20.67874146,Sin riesgo
478,-103.2417984,20.59327888,Sin riesgo
479,-103.4275061,20.5336588,Riesgo moderado
480,-103.3417664,20.65077209,Sin riesgo
481,-103.3391037,20.68315125,Sin riesgo
482,-103.286087,20.67385292,Sin riesgo
483,-103.437706,20.76301575,Sin riesgo
484,-103.4688255,20.5582179,Poco riesgo
485,-103.2402417,20.683602,Riesgo moderado
486,-103.3152313,20.66807747,Sin riesgo
487,-103.4394932,20.5713133,Sin riesgo
488,-103.3829041,20.64947891,Sin riesgo
490,-103.2457512,20.6844493,Riesgo moderado
491,-103.3979497,20.5075402,Alto riesgo
492,-103.404213,20.53791237,Riesgo moderado
493,-103.2980499,20.61911964,Sin riesgo
494,-103.3531036,20.66088295,Sin riesgo
495,-103.2569515,20.4648257,Alto riesgo
496,-103.2718287,20.6089574,Alto riesgo
497,-103.3713482,20.6973193,Sin riesgo
498,-103.444252,20.7680912,Sin riesgo
499,-103.371933,20.63588142,Poco riesgo
500,-103.3644104,20.74343872,Riesgo moderado
501,-103.3715769,20.6705536,Sin riesgo
502,-103.3217545,20.59061432,Alto riesgo
503,-103.4232178,20.65831184,Sin riesgo
504,-103.3452988,20.72140312,Sin riesgo
506,-103.4771881,20.79560661,Sin riesgo
507,-103.3213272,20.71292877,Poco riesgo
508,-103.4373627,20.5990448,Sin riesgo
509,-103.3519974,20.7311306,Sin riesgo
510,-103.2968903,20.690485,Sin riesgo
511,-103.4485855,20.69560623,Poco riesgo
513,-103.3196487,20.68837547,Poco riesgo
514,-103.3101196,20.66538811,Sin riesgo
515,-103.4007999,20.6183324,Sin riesgo
516,-103.2957764,20.70570946,Sin riesgo
517,-103.3625412,20.57775307,Sin riesgo
518,-103.3427124,20.66987419,Sin riesgo
519,-103.4217727,20.7316099,Poco riesgo
520,-103.431114,20.589315,Sin riesgo
521,-103.3699417,20.52993774,Sin riesgo
522,-103.4598236,20.70366478,Poco riesgo
