id,Coordx,Coordy,riesgo
420,-103.3296967,20.64616394,Poco riesgo
422,-103.2758026,20.65977287,Poco riesgo
423,-103.3672028,20.67234039,Poco riesgo
424,-103.3153,20.69260406,Riesgo moderado
425,-103.2481308,20.61882591,Poco riesgo
426,-103.359375,20.67167473,Poco riesgo
427,-103.3708038,20.68502808,Poco riesgo
428,-103.2908968,20.5264853,Alto riesgo
429,-103.3239136,20.70812988,Poco riesgo
430,-103.3120651,20.6773777,Poco riesgo
431,-103.3819199,20.68258476,Poco riesgo
432,-103.261261,20.67692375,Riesgo moderado
433,-103.310463,20.68942833,Poco riesgo
434,-103.3397153,20.5813545,Riesgo moderado
435,-103.3557892,20.74369049,Riesgo moderado
436,-103.4047546,20.7317791,Riesgo moderado
438,-103.3347092,20.67949295,Poco riesgo
439,-103.352272,20.68185234,Poco riesgo
440,-103.3892599,20.7407909,Poco riesgo
441,-103.4511261,20.76652527,Riesgo moderado
442,-103.2766647,20.66537285,Riesgo moderado
443,-103.3466034,20.67731285,Poco riesgo
444,-103.3428116,20.61523628,Riesgo moderado
445,-103.4488678,20.62972832,Poco riesgo
446,-103.3970566,20.73345947,Poco riesgo
447,-103.3450699,20.7215023,Poco riesgo
448,-103.2807007,20.66594887,Riesgo moderado
449,-103.3648224,20.6388855,Riesgo moderado
450,-103.4213791,20.66271019,Poco riesgo
451,-103.4706392,20.5475323,Poco riesgo
452,-103.4773262,20.547442,Alto riesgo
453,-103.354805,20.67718506,Sin riesgo
454,-103.3597946,20.62120628,Poco riesgo
455,-103.2898254,20.62271118,Riesgo moderado
456,-103.3716812,20.62247849,Riesgo moderado
457,-103.3738541,20.6227853,Riesgo moderado
458,-103.5311687,20.729089,Alto riesgo
459,-103.3106766,20.70957375,Riesgo moderado
460,-103.3718719,20.6579628,Riesgo moderado
461,-103.2940979,20.70713425,Riesgo moderado
462,-103.3359756,20.65052032,Poco riesgo
463,-103.4426309,20.5696737,Riesgo moderado
464,-103.274231,20.65874863,Poco riesgo
465,-103.4350163,20.453042,Alto riesgo
467,-103.2887573,20.67943382,Riesgo moderado
468,-103.4526825,20.6407032,Poco riesgo
469,-103.3868103,20.59171486,Riesgo moderado
470,-103.4649175,20.54394779,Riesgo moderado
471,-103.3049164,20.67177391,Poco riesgo
472,-103.239006,20.59152603,Riesgo moderado
473,-103.3901443,20.66246223,Poco riesgo
474,-103.3330231,20.64590454,Riesgo moderado
475,-103.3625031,20.7337513,Riesgo moderado
476,-103.3313675,20.67874146,Poco riesgo
478,-103.2417984,20.59327888,Poco riesgo
479,-103.4275061,20.5336588,Poco riesgo
480,-103.3417664,20.65077209,Poco riesgo
481,-103.3391037,20.68315125,Poco riesgo
482,-103.286087,20.67385292,Poco riesgo
483,-103.437706,20.76301575,Poco riesgo
484,-103.4688255,20.5582179,Poco riesgo
485,-103.2402417,20.683602,Alto riesgo
486,-103.3152313,20.66807747,Poco riesgo
487,-103.4394932,20.5713133,Poco riesgo
488,-103.3829041,20.64947891,Riesgo moderado
490,-103.2457512,20.6844493,Poco riesgo
491,-103.3979497,20.5075402,Alto riesgo
492,-103.404213,20.53791237,Riesgo moderado
493,-103.2980499,20.61911964,Poco riesgo
494,-103.3531036,20.66088295,Poco riesgo
495,-103.2569515,20.4648257,Alto riesgo
496,-103.2718287,20.6089574,Alto riesgo
497,-103.3713482,20.6973193,Poco riesgo
498,-103.444252,20.7680912,Poco riesgo
499,-103.371933,20.63588142,Poco riesgo
500,-103.3644104,20.74343872,Riesgo moderado
501,-103.3715769,20.6705536,Sin riesgo
502,-103.3217545,20.59061432,Alto riesgo
503,-103.4232178,20.65831184,Poco riesgo
504,-103.3452988,20.72140312,Poco riesgo
506,-103.4771881,20.79560661,Poco riesgo
507,-103.3213272,20.71292877,Poco riesgo
508,-103.4373627,20.5990448,Poco riesgo
509,-103.3519974,20.7311306,Riesgo moderado
510,-103.2968903,20.690485,Poco riesgo
511,-103.4485855,20.69560623,Poco riesgo
512,-103.3214499,20.5897852,Alto riesgo
513,-103.3196487,20.68837547,Riesgo moderado
514,-103.3101196,20.66538811,Poco riesgo
515,-103.4007999,20.6183324,Poco riesgo
516,-103.2957764,20.70570946,Riesgo moderado
517,-103.3625412,20.57775307,Riesgo moderado
518,-103.3427124,20.66987419,Poco riesgo
519,-103.4217727,20.7316099,Riesgo moderado
520,-103.431114,20.589315,Poco riesgo
521,-103.3699417,20.52993774,Poco riesgo
522,-103.4598236,20.70366478,Riesgo moderado
523,-103.3939133,20.7315464,Poco riesgo
524,-103.4161987,20.64039421,Poco riesgo
525,-103.35466,20.67490578,Sin riesgo
527,-103.3864097,20.753126,Poco riesgo
528,-103.4392014,20.65865326,Poco riesgo
529,-103.4669571,20.63513756,Poco riesgo
530,-103.2905762,20.5255062,Alto riesgo
531,-103.4659119,20.63594818,Poco riesgo
532,-103.3067169,20.64443016,Poco riesgo
533,-103.3287659,20.65204239,Poco riesgo
534,-103.3455582,20.72133636,Riesgo moderado
535,-103.2948803,20.5300036,Alto riesgo
537,-103.2905762,20.5255062,Alto riesgo
538,-103.4711852,20.5470065,Poco riesgo
540,-103.3529968,20.64794731,Riesgo moderado
542,-103.399353,20.64254379,Riesgo moderado
543,-103.4286499,20.72997665,Riesgo moderado
544,-103.3785858,20.67928505,Poco riesgo
545,-103.4269638,20.61478424,Alto riesgo
546,-103.2616425,20.68589973,Riesgo moderado
547,-103.1678312,20.572195,Alto riesgo
548,-103.3009567,20.67512894,Poco riesgo
549,-103.442858,20.648447,Alto riesgo
550,-103.4598334,20.7032559,Riesgo moderado
551,-103.3403931,20.68313408,Poco riesgo
552,-103.3614144,20.5471296,Poco riesgo
553,-103.362999,20.68196869,Poco riesgo
554,-103.2811127,20.66338539,Riesgo moderado
555,-103.3642044,20.74823189,Poco riesgo
557,-103.3526611,20.69799232,Poco riesgo
558,-103.3090439,20.61732864,Riesgo moderado
559,-103.3879395,20.642416,Riesgo moderado
560,-103.3768768,20.63028145,Poco riesgo
561,-103.4647293,20.62541389,Poco riesgo
562,-103.3571032,20.6414921,Poco riesgo
563,-103.3655427,20.7221467,Poco riesgo
564,-103.3548508,20.67412758,Poco riesgo
565,-103.4061661,20.64614868,Poco riesgo
566,-103.3115234,20.65837288,Poco riesgo
567,-103.4466782,20.76983643,Sin riesgo
569,-103.373818,20.7369285,Poco riesgo
570,-103.3870926,20.72523308,Poco riesgo
571,-103.3483875,20.629086,Riesgo moderado
572,-103.4236908,20.73508453,Riesgo moderado
573,-103.3178024,20.66069221,Poco riesgo
574,-103.3461227,20.6291008,Poco riesgo
575,-103.371727,20.67904854,Poco riesgo
576,-103.3540497,20.69888115,Poco riesgo
577,-103.4396561,20.7609254,Poco riesgo
578,-103.3866086,20.5920722,Alto riesgo
579,-103.3466034,20.67731285,Poco riesgo
580,-103.4642192,20.5446633,Riesgo moderado
581,-103.375689,20.6240259,Riesgo moderado
582,-103.3538208,20.71927261,Poco riesgo
583,-103.4407501,20.64361191,Poco riesgo
584,-103.447319,20.63977432,Poco riesgo
585,-103.4602737,20.64506912,Sin riesgo
586,-103.403053,20.648224,Riesgo moderado
587,-103.2911301,20.66720963,Poco riesgo
588,-103.3659296,20.6642733,Sin riesgo
589,-103.3465424,20.68985367,Poco riesgo
590,-103.3517704,20.7067349,Poco riesgo
591,-103.2723541,20.69175339,Poco riesgo
592,-103.4169998,20.55851364,Alto riesgo
593,-103.3122482,20.6464386,Poco riesgo
594,-103.3551025,20.69615364,Poco riesgo
595,-103.3522568,20.68276024,Poco riesgo
596,-103.346138,20.71412468,Poco riesgo
597,-103.3715213,20.7002455,Poco riesgo
598,-103.411644,20.73101807,Sin riesgo
600,-103.4583206,20.70864296,Riesgo moderado
602,-103.4330327,20.4640569,Poco riesgo
603,-103.3003693,20.66679382,Poco riesgo
604,-103.3127747,20.56100082,Poco riesgo
605,"-103.315795,",20.6446286,Poco riesgo
606,-103.4516392,20.6176973,Poco riesgo
607,-103.371582,20.67136574,Poco riesgo
608,-103.3503876,20.67946243,Poco riesgo
609,-103.3739243,20.62227631,Poco riesgo
610,-103.3283844,20.66835403,Poco riesgo
611,-103.4155884,20.62308693,Riesgo moderado
612,-103.4565125,20.64966011,Riesgo moderado
613,-103.411362,20.743734,Poco riesgo
614,-103.3302231,20.62648964,Poco riesgo
615,-103.4341736,20.75853348,Riesgo moderado
616,-103.3539658,20.68277359,Poco riesgo
617,-103.455627,20.717493,Poco riesgo
618,-103.2833862,20.61052895,Poco riesgo
619,-103.4441173,20.7303512,Riesgo moderado
621,-103.3844281,20.7060569,Poco riesgo
622,-103.2785339,20.6883812,Poco riesgo
623,-103.3532104,20.65039444,Poco riesgo
624,-103.2948303,20.68873978,Riesgo moderado
625,-103.3938828,20.73140526,Poco riesgo
626,-103.4150085,20.63545227,Poco riesgo
627,-103.3327408,20.69846344,Riesgo moderado
628,-103.3963318,20.61320877,Poco riesgo
629,-103.2698898,20.65761566,Riesgo moderado
630,-103.447151,20.745565,Poco riesgo
632,-103.3546982,20.67218399,Poco riesgo
635,-103.3651276,20.63015175,Poco riesgo
636,-103.446678,20.766653,Poco riesgo
637,-103.3463659,20.6543094,Poco riesgo
638,-103.3857346,20.65824318,Poco riesgo
639,-103.2637634,20.69003487,Poco riesgo
640,-103.335289,20.66722488,Poco riesgo
641,-103.3935181,20.7398793,Poco riesgo
643,"-103.314446,",20.6464483,Poco riesgo
644,-103.2856293,20.61663246,Sin riesgo
645,-103.4687347,20.63352966,Poco riesgo
646,-103.3763324,20.7125652,Poco riesgo
647,-103.3765793,20.71332169,Poco riesgo
648,-103.3548203,20.67634201,Poco riesgo
649,-103.3583298,20.56100464,Poco riesgo
650,-103.3370743,20.72545815,Alto riesgo
651,-103.327919,20.66426468,Poco riesgo
652,-103.3620148,20.6868248,Poco riesgo
653,-103.3370743,20.72545815,Alto riesgo
655,-103.2322083,20.5990448,Alto riesgo
656,-103.4245605,20.68377113,Riesgo moderado
657,-103.3139877,20.69924164,Poco riesgo
660,-103.3340312,20.5472405,Riesgo moderado
661,-103.3339767,20.54715729,Riesgo moderado
662,-103.3216071,20.61800476,Riesgo moderado
663,-103.2270819,20.6702652,Alto riesgo
