id,Coordy,Coordx,riesgo
401,20.6248173,-103.4032592,Poco riesgo
403,20.69176865,-103.311142,Poco riesgo
404,20.62374687,-103.373909,Riesgo moderado
405,20.438574,-103.2476472,Alto riesgo
406,20.5557143,-103.4278256,Alto riesgo
407,20.67331696,-103.4235992,Poco riesgo
408,20.4734592,-103.4455551,Poco riesgo
409,20.57391548,-103.3638306,Poco riesgo
410,20.67561722,-103.3799744,Poco riesgo
411,20.72208786,-103.3082657,Poco riesgo
412,20.7218574,-103.3070823,Poco riesgo
413,20.63075829,-103.4360886,Riesgo moderado
415,20.73337364,-103.409729,Riesgo moderado
416,20.71327209,-103.3548355,Riesgo moderado
417,20.71201515,-103.4530106,Riesgo moderado
418,20.65041733,-103.3669128,Poco riesgo
419,20.62309456,-103.347023,Riesgo moderado
420,20.64616394,-103.3296967,Poco riesgo
422,20.65977287,-103.2758026,Poco riesgo
423,20.67234039,-103.3672028,Poco riesgo
424,20.69260406,-103.3153,Riesgo moderado
425,20.61882591,-103.2481308,Poco riesgo
426,20.67167473,-103.359375,Sin riesgo
427,20.68502808,-103.3708038,Poco riesgo
428,20.5264853,-103.2908968,Alto riesgo
429,20.70812988,-103.3239136,Poco riesgo
430,20.6773777,-103.3120651,Poco riesgo
431,20.68258476,-103.3819199,Poco riesgo
432,20.67692375,-103.261261,Poco riesgo
433,20.68942833,-103.310463,Poco riesgo
434,20.5813545,-103.3397153,Poco riesgo
435,20.74369049,-103.3557892,Poco riesgo
436,20.7317791,-103.4047546,Riesgo moderado
438,20.67949295,-103.3347092,Poco riesgo
439,20.68185234,-103.352272,Poco riesgo
440,20.7407909,-103.3892599,Poco riesgo
441,20.76652527,-103.4511261,Poco riesgo
442,20.66537285,-103.2766647,Riesgo moderado
443,20.67731285,-103.3466034,Poco riesgo
444,20.61523628,-103.3428116,Riesgo moderado
445,20.62972832,-103.4488678,Poco riesgo
446,20.73345947,-103.3970566,Poco riesgo
447,20.7215023,-103.3450699,Poco riesgo
448,20.66594887,-103.2807007,Riesgo moderado
449,20.6388855,-103.3648224,Poco riesgo
450,20.66271019,-103.4213791,Poco riesgo
451,20.5475323,-103.4706392,Riesgo moderado
452,20.547442,-103.4773262,Alto riesgo
453,20.67718506,-103.354805,Poco riesgo
454,20.62120628,-103.3597946,Riesgo moderado
455,20.62271118,-103.2898254,Riesgo moderado
456,20.62247849,-103.3716812,Riesgo moderado
457,20.6227853,-103.3738541,Riesgo moderado
458,20.729089,-103.5311687,Alto riesgo
459,20.70957375,-103.3106766,Poco riesgo
460,20.6579628,-103.3718719,Poco riesgo
461,20.70713425,-103.2940979,Riesgo moderado
462,20.65052032,-103.3359756,Poco riesgo
463,20.5696737,-103.4426309,Riesgo moderado
464,20.65874863,-103.274231,Poco riesgo
465,20.453042,-103.4350163,Alto riesgo
467,20.67943382,-103.2887573,Riesgo moderado
468,20.6407032,-103.4526825,Poco riesgo
469,20.59171486,-103.3868103,Riesgo moderado
470,20.54394779,-103.46491752,Riesgo moderado
471,20.67177391,-103.3049164,Poco riesgo
472,20.59152603,-103.239006,Riesgo moderado
473,20.66246223,-103.3901443,Poco riesgo
474,20.64590454,-103.3330231,Riesgo moderado
475,20.7337513,-103.3625031,Riesgo moderado
476,20.67874146,-103.3313675,Poco riesgo
478,20.59327888,-103.2417984,Poco riesgo
479,20.5336588,-103.4275061,Poco riesgo
480,20.65077209,-103.3417664,Poco riesgo
481,20.68315125,-103.3391037,Poco riesgo
482,20.67385292,-103.286087,Poco riesgo
483,20.76301575,-103.437706,Poco riesgo
484,20.5582179,-103.4688255,Poco riesgo
485,20.683602,-103.2402417,Riesgo moderado
486,20.66807747,-103.3152313,Poco riesgo
487,20.5713133,-103.4394932,Riesgo moderado
488,20.64947891,-103.3829041,Riesgo moderado
490,20.6844493,-103.2457512,Riesgo moderado
491,20.5075402,-103.3979497,Alto riesgo
492,20.53791237,-103.404213,Riesgo moderado
493,20.61911964,-103.2980499,Poco riesgo
494,20.66088295,-103.3531036,Poco riesgo
495,20.4648257,-103.2569515,Alto riesgo
496,20.6089574,-103.2718287,Alto riesgo
497,20.6973193,-103.3713482,Poco riesgo
498,20.7680912,-103.444252,Poco riesgo
499,20.63588142,-103.371933,Poco riesgo
500,20.74343872,-103.3644104,Poco riesgo
501,20.6705536,-103.3715769,Sin riesgo
502,20.59061432,-103.3217545,Riesgo moderado
503,20.65831184,-103.4232178,Poco riesgo
504,20.72140312,-103.3452988,Poco riesgo
506,20.79560661,-103.4771881,Poco riesgo
507,20.71292877,-103.3213272,Poco riesgo
508,20.5990448,-103.4373627,Poco riesgo
509,20.7311306,-103.3519974,Riesgo moderado
510,20.690485,-103.2968903,Poco riesgo
511,20.69560623,-103.4485855,Riesgo moderado
512,20.5897852,-103.3214499,Riesgo moderado
513,20.68837547,-103.3196487,Riesgo moderado
514,20.66538811,-103.3101196,Poco riesgo
515,20.6183324,-103.4007999,Poco riesgo
516,20.70570946,-103.2957764,Riesgo moderado
517,20.57775307,-103.3625412,Riesgo moderado
518,20.66987419,-103.3427124,Poco riesgo
519,20.7316099,-103.4217727,Riesgo moderado
520,20.589315,-103.431114,Poco riesgo
521,20.52993774,-103.3699417,Poco riesgo
522,20.70366478,-103.45982359999999,Riesgo moderado
523,20.7315464,-103.3939133,Poco riesgo
524,20.64039421,-103.4161987,Poco riesgo
525,20.67490578,-103.35466,Poco riesgo
527,20.753126,-103.3864097,Poco riesgo
528,20.65865326,-103.4392014,Poco riesgo
529,20.63513756,-103.4669571,Poco riesgo
530,20.5255062,-103.2905762,Alto riesgo
531,20.63594818,-103.4659119,Poco riesgo
532,20.64443016,-103.3067169,Poco riesgo
533,20.65204239,-103.3287659,Poco riesgo
534,20.72133636,-103.3455582,Riesgo moderado
535,20.5300036,-103.2948803,Alto riesgo
537,20.5255062,-103.2905762,Alto riesgo
538,20.5470065,-103.4711852,Riesgo moderado
540,20.64794731,-103.3529968,Riesgo moderado
542,20.64254379,-103.399353,Riesgo moderado
543,20.72997665,-103.4286499,Riesgo moderado
544,20.67928505,-103.3785858,Poco riesgo
545,20.61478424,-103.4269638,Alto riesgo
546,20.68589973,-103.2616425,Poco riesgo
547,20.572195,-103.1678312,Alto riesgo
548,20.67512894,-103.3009567,Poco riesgo
549,20.648447,-103.442858,Riesgo moderado
550,20.7032559,-103.4598334,Riesgo moderado
551,20.68313408,-103.3403931,Poco riesgo
552,20.5471296,-103.3614144,Poco riesgo
553,20.68196869,-103.362999,Poco riesgo
554,20.66338539,-103.2811127,Riesgo moderado
555,20.74823189,-103.3642044,Poco riesgo
557,20.69799232,-103.3526611,Poco riesgo
558,20.61732864,-103.3090439,Poco riesgo
559,20.642416,-103.3879395,Riesgo moderado
560,20.63028145,-103.3768768,Poco riesgo
561,20.62541389,-103.4647293,Poco riesgo
562,20.6414921,-103.3571032,Poco riesgo
563,20.7221467,-103.3655427,Poco riesgo
564,20.67412758,-103.3548508,Poco riesgo
565,20.64614868,-103.4061661,Poco riesgo
566,20.65837288,-103.3115234,Poco riesgo
567,20.76983643,-103.4466782,Poco riesgo
569,20.7369285,-103.373818,Poco riesgo
570,20.72523308,-103.3870926,Poco riesgo
571,20.629086,-103.3483875,Riesgo moderado
572,20.73508453,-103.4236908,Riesgo moderado
573,20.66069221,-103.3178024,Poco riesgo
574,20.6291008,-103.3461227,Poco riesgo
575,20.67904854,-103.371727,Poco riesgo
576,20.69888115,-103.3540497,Poco riesgo
577,20.7609254,-103.4396561,Poco riesgo
578,20.5920722,-103.3866086,Riesgo moderado
579,20.67731285,-103.3466034,Poco riesgo
