Bicycle_routes,linear_color_weighting,Previous_accidents,Day,Sex,Age_rangue,Hourly_range,Lanes,Speed_limit,Bikeway,Public_transport,Traffic_light,Street_type,vehicle_type,Traffic_variable,Bicycle_routes_cat,predominant_color,diffuse_logic_traffic,label
0,0.453640222,0,Friday,M,40-49,10:00 a 11:59,1,50km/h,No,Yes,No,Street,Multiple_collision,Poco trafico,No,orange,MB,0
0,0.25,2,Sunday,M,20-29,22:00 a 23:59,2,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,0
0,0,0,Monday,M,0-19,20:00 a 21:59,1,50km/h,No,Yes,No,Street,Passenger_vehicle,Poco trafico,No,green,B,0
0,0.358232285,2,Friday,M,60-69,10:00 a 11:59,2,40km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,No,green,MB,0
176,0.305092472,0,Saturday,M,30-39,06:00 a 07:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,Yes,green,B,0
0,0.409864579,1,Tuesday,M,30-39,14:00 a 15:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Trafico moderado,No,green,MB,1
0,0.25,2,Tuesday,M,30-39,14:00 a 15:59,3,50km/h,Yes,Yes,No,Avenue,Truck,Poco trafico,No,green,B,1
0,0.25,1,Tuesday,M,30-39,12:00 a 13:59,3,50km/h,No,Yes,No,Avenue,Truck,Poco trafico,No,green,B,1
0,0.382643607,0,Saturday,M,0-19,08:00 a 09:59,2,50km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,No,orange,MB,0
0,0.25,0,Wednesday,M,60-69,10:00 a 11:59,2,50km/h,No,Yes,No,Street,Truck,Poco trafico,No,green,B,0
0,0.33601177,1,Monday,M,30-39,22:00 a 23:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,1
567,0.328886311,0,Tuesday,M,40-49,12:00 a 13:59,1,50km/h,No,Yes,No,Street,Private_car,Mucho trafico,Yes,green,B,0
0,0.330501973,3,Tuesday,M,30-39,14:00 a 15:59,4,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,0
762,0.362672018,1,Wednesday,F,20-29,0:00 a 01:59,1,50km/h,No,Yes,No,Street,Private_car,Poco trafico,Yes,green,MB,0
0,0.38547092,0,Thursday,M,30-39,14:00 a 15:59,4,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,No,green,MB,0
69,0.577066116,1,Thursday,F,30-39,10:00 a 11:59,4,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,Yes,orange,MB,0
