id,Bicycle_routes,linear_color_weighting,Previous_accidents,Day,Sex,Age_rangue,Hourly_range,Lanes,Speed_limit,Bikeway,Public_transport,Traffic_light,Street_type,vehicle_type,Traffic_variable,Bicycle_routes_cat,predominant_color,diffuse_logic_traffic,label
291,0,0.280260708,2,Thursday,M,,06:00 a 07:59,3,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,1
292,81,0.5052,2,Sunday,,,10:00 a 11:59,4,50km/h,No,Yes,Yes,Avenue,Truck,Trafico moderado,Yes,orange,MA,1
294,237,0.330893683,1,Wednesday,M,50-59,12:00 a 13:59,4,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Trafico moderado,Yes,green,MB,0
295,0,0.358593959,1,Saturday,F,20-29,18:00 a 19:59,3,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,No,green,MB,0
296,629,0.279582929,2,Tuesday,M,40-49,18:00 a 19:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,Yes,green,B,0
297,0,0.411655874,1,Wednesday,F,50-59,12:00 a 13:59,1,50km/h,No,No,No,Street,Truck,Trafico moderado,No,orange,MB,0
298,0,0.25,0,Wednesday,M,50-59,20:00 a 21:59,1,50km/h,No,No,No,Street,Private_car,Poco trafico,No,green,B,0
299,999,0.295154723,2,Friday,M,20-29,06:00 a 07:59,3,50km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,Yes,green,B,0
300,0,0.333740831,0,Friday,M,50-59,08:00 a 09:59,4,50km/h,No,Yes,No,Avenue,Truck,Trafico moderado,No,green,MB,0
301,0,0.369328003,2,Thursday,M,0-19,08:00 a 09:59,4,80km/h,No,Yes,No,Peripheral,Private_car,Trafico moderado,No,green,MB,0
302,266,0.251960784,2,Saturday,F,20-29,14:00 a 15:59,2,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,Yes,green,B,0
303,0,0.417275574,0,Sunday,F,50-59,20:00 a 21:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Trafico moderado,No,orange,MB,0
304,0,0.459586466,0,Saturday,M,30-39,12:00 a 13:59,3,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,No,green,MA,0
305,0,0.332615973,0,Saturday,M,20-29,16:00 a 17:59,2,50km/h,No,No,No,Street,Private_car,Trafico moderado,No,green,MB,0
306,0,0.306673729,0,Sunday,M,40-49,0:00 a 01:59,6,50km/h,No,Yes,Yes,Avenue,,Poco trafico,No,green,B,0
307,0,0.25,0,Wednesday,M,30-39,0:00 a 01:59,4,80km/h,No,Yes,No,Peripheral,Truck,Poco trafico,No,green,B,1
308,0,0.328645175,0,Monday,M,20-29,08:00 a 09:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,No,green,B,0
309,0,0.271803499,0,Tuesday,M,30-39,16:00 a 17:59,1,50km/h,No,Yes,No,Street,,Trafico moderado,No,green,B,0
310,0,0.330209292,0,Wednesday,F,30-39,16:00 a 17:59,4,50km/h,No,Yes,Yes,Street,Passenger_vehicle,Poco trafico,No,green,B,0
311,0,0.25,1,Wednesday,F,20-29,08:00 a 09:59,2,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,No,green,B,0
312,0,0.25,0,Saturday,M,50-59,22:00 a 23:59,1,50km/h,No,Yes,No,Street,Passenger_vehicle,Trafico moderado,No,green,B,0
313,0,0.366112298,2,Tuesday,M,40-49,16:00 a 17:59,2,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Poco trafico,No,green,B,0
314,0,0.318913175,0,Thursday,M,50-59,10:00 a 11:59,3,50km/h,No,Yes,No,Avenue,,Trafico moderado,No,green,B,0
315,0,0.355047106,4,Tuesday,M,40-49,18:00 a 19:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,0
