id,Coordy,Coordx,riesgo,Probabilidad_Clase_0,Probabilidad_Clase_1,riesgoFormula
242,20.67419624,-103.3091125,Poco riesgo,0.428542833,0.571457167,Poco riesgo
243,20.632024,-103.429312,Poco riesgo,0.4915053,0.5084947,Poco riesgo
244,20.66988182,-103.3660431,Poco riesgo,0.356503314,0.643496686,Poco riesgo
245,20.66640663,-103.3097687,Poco riesgo,0.48698772,0.51301228,Poco riesgo
246,20.67610359,-103.3650818,Poco riesgo,0.369431749,0.630568251,Poco riesgo
247,20.62129593,-103.4227066,Poco riesgo,0.493163463,0.506836537,Poco riesgo
248,20.67326546,-103.3880005,Poco riesgo,0.311450882,0.688549118,Poco riesgo
249,20.62907028,-103.2624435,Riesgo moderado,0.550068228,0.449931772,Riesgo moderado
250,20.6795063,-103.3903656,Poco riesgo,0.418210852,0.581789148,Poco riesgo
251,20.73429108,-103.4233398,Riesgo moderado,0.618965247,0.381034753,Riesgo moderado
252,20.64211464,-103.4609528,Riesgo moderado,0.534543433,0.465456567,Riesgo moderado
253,20.5752694,-103.3165891,Alto riesgo,0.882600089,0.117399911,Alto riesgo
254,20.4812712,-103.4550041,Riesgo moderado,0.600618382,0.399381618,Riesgo moderado
256,20.59361649,-103.2743988,Poco riesgo,0.420666266,0.579333734,Poco riesgo
257,20.69374847,-103.3098602,Poco riesgo,0.499103335,0.500896665,Poco riesgo
259,20.7422657,-103.355835,Riesgo moderado,0.548425765,0.451574235,Riesgo moderado
260,20.70973778,-103.3883057,Poco riesgo,0.4915053,0.5084947,Poco riesgo
261,20.65082169,-103.3990402,Poco riesgo,0.434804228,0.565195772,Poco riesgo
262,20.64947891,-103.3829041,Riesgo moderado,0.618965247,0.381034753,Riesgo moderado
264,20.8532469,-103.4273029,Poco riesgo,0.428542833,0.571457167,Poco riesgo
265,20.5727787,-103.3557587,Poco riesgo,0.485128234,0.514871766,Poco riesgo
266,20.69418526,-103.3529205,Poco riesgo,0.299200559,0.700799441,Poco riesgo
